year,total_articles,total_tokens,programming,AI,Artificial intelligence,Character recognition,ChatGPT,Clustering analysis,Comput*,Computational,Digital,Distant reading,Entity Recognition,GenAI,Generative AI,Generative Artificial intelligence,Humanities Computing,Large language model,LLM,Literary Computing,Machine learning,Natural language processing,NLP,Named Entity Recognition,Network analysis,OCR,Pattern recognition
2000,51527,160693866,1222,821,482,21,0,4,17909,1283,3556,0,0,0,0,0,54,0,1,1,46,120,84,0,53,29,64
2001,50866,157556918,1103,1016,618,10,0,0,18429,1289,4730,0,0,0,0,0,33,0,5,5,45,134,79,0,31,61,79
2002,50121,155866017,1229,1187,493,5,0,1,15717,1071,4825,0,1,0,0,0,173,1,6,8,27,124,73,0,26,147,24
2003,48417,155456047,1215,1003,389,13,0,2,16649,1092,4820,1,0,0,0,0,60,0,2,4,38,86,45,0,39,49,43
2004,48262,156367737,1413,730,344,7,0,2,17767,1432,5079,12,1,0,0,0,45,0,17,3,32,77,52,1,45,30,53
2005,46899,156241051,1295,906,562,9,0,3,15073,1080,5023,16,8,0,0,0,7,0,23,1,47,87,103,6,85,34,59
2006,47122,159926611,1116,861,414,12,0,3,16175,1314,7092,45,2,0,0,0,9,0,4,1,58,79,194,2,65,54,155
2007,47178,160706662,1352,920,517,63,0,0,16458,1489,6914,11,5,0,0,0,18,0,9,2,103,72,54,5,42,60,81
2008,47756,164771409,1603,753,464,7,0,4,15625,1348,8161,23,35,0,0,0,30,0,7,1,76,104,103,33,54,41,90
2009,47368,167076490,1453,1014,542,13,0,6,19275,1990,8654,13,3,0,0,0,20,0,5,1,102,140,108,3,99,44,78
2010,44336,158323187,1408,666,387,17,0,4,14838,1692,8149,19,7,1,0,0,4,0,17,0,89,146,122,7,186,52,81
2011,43894,159160728,1490,705,483,35,0,3,17537,1758,11576,22,11,0,0,0,9,0,5,0,86,172,104,11,83,76,94
2012,44440,161015983,1349,618,472,11,0,0,15782,1897,12945,71,42,3,0,0,42,0,7,4,181,186,134,38,217,86,123
2013,42263,158572718,1230,731,406,38,0,3,16487,2286,11989,61,11,0,0,0,14,0,7,0,239,256,187,10,269,152,72
2014,41849,157478075,1563,791,486,23,0,23,17441,2588,12448,119,47,0,0,0,26,0,9,3,141,194,147,45,248,70,51
2015,42537,160680428,1661,951,444,18,0,3,16899,2104,13619,117,15,0,0,0,5,0,10,4,178,259,134,11,588,79,82
2016,44350,168208172,1559,733,434,36,0,11,18623,2602,16778,131,22,0,0,0,21,0,5,2,265,158,170,16,310,111,81
2017,44170,173349644,1733,1122,454,30,0,15,16585,2760,16183,405,44,0,0,0,19,0,5,1,232,304,129,39,231,122,80
2018,44228,178503467,1764,2295,584,25,0,10,18596,3192,19074,194,70,0,0,0,21,0,6,3,282,228,142,63,383,71,70
2019,47450,193923875,1891,2011,891,34,0,3,19420,3135,21165,200,35,0,0,0,21,1,14,0,520,222,257,34,389,172,118
2020,44901,192040029,2258,2137,943,31,0,9,18457,3217,23093,188,65,0,0,0,13,0,7,1,547,288,287,57,296,85,83
2021,31724,144986727,1937,1846,935,45,0,10,17638,4594,18911,147,24,0,1,0,21,1,22,1,979,333,231,19,279,294,133
2022,28154,126083238,1479,5897,1379,74,0,3,13309,3011,16369,68,36,3,0,0,3,9,9,1,914,300,313,33,487,65,89
2023,9465,32857019,523,1521,259,1,189,0,3670,220,6280,5,1,24,61,1,0,3,7,0,143,17,25,1,65,9,17
2024,7144,26980931,381,2560,365,1,239,0,2224,202,4981,16,1,94,70,10,0,12,59,0,87,17,18,1,14,7,9
2025,2809,10824754,103,1043,139,5,98,0,1362,129,2354,1,0,44,91,7,0,7,26,0,68,4,2,0,6,96,7
2026,143,212754,0,17,4,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
