title	year	discipline_names	url
ARTIFICIAL INTELLIGENCE, IDOLATRY, AND HUMAN MANIPULATION	2020	['Language & Literature']	www.jstor.org/stable/10.2307/27197656
Natural Problems and Artificial Intelligence	1990	['Philosophy']	www.jstor.org/stable/10.2307/27759223
From Alan Turing to Ian Mcewan: Artificial Intelligence, Lies and Ethics in <em>Machines Like Me</em>	2020	['Language & Literature']	www.jstor.org/stable/10.5325/complitstudies.57.3.0443
Landscape Archaeology and Artificial Intelligence	2018	['Archaeology', 'History']	www.jstor.org/stable/10.1163/j.ctv4v349g.11
Artificial Intelligence, Humanistic Ethics	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662038
Democracy & Distrust in an Era of Artificial Intelligence	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662045
Distrust of Artificial Intelligence	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662044
Toward a Theory of Justice for Artificial Intelligence	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662037
How artificial intelligence technology encourages the vice of acedia	2023	['Language & Literature']	www.jstor.org/stable/10.2307/48769084
ARTIFICIAL INTELLIGENCE — METAPHOR OR OXYMORON?	1997	['Language & Literature']	www.jstor.org/stable/10.2307/42579773
Book Review :          Robot Ethics 2.0: From Autonomous Cars to Artificial Intelligence                    P.           Lin                             K.           Abney                             R.           Jenkins	2018	['Philosophy']	www.jstor.org/stable/10.2307/44955665
Assemblage Theory and Multi-agent Artificial Intelligence Modelling	2024	['Philosophy', 'Religion']	www.jstor.org/stable/10.3366/jj.13982254.8
Pragmatism, Artificial Intelligence, and Posthuman Bioethics: Shusterman, Rorty, Foucault	2004	['Philosophy']	www.jstor.org/stable/10.2307/20010374
Knowledge-Based Systems: Remarks on the Philosophy of Technology and Artificial Intelligence	1990	['Philosophy']	www.jstor.org/stable/10.2307/25170870
Book Review : Tech Anxiety: Artificial Intelligence and Ontological Awakening in Four Science Fiction Novels	2018	['Language & Literature', 'Film Studies', 'Performing Arts']	www.jstor.org/stable/10.2307/26728153
Artificial Innocence: Interactions between the Study of Children's Drawing and Artificial Intelligence	1997	['Art & Art History']	www.jstor.org/stable/10.2307/1576477
Book Review :          Affect and Artificial Intelligence. In Vivo The Cultural Mediations of Biomedical Science Series                    Elizabeth A.           Wilson	2012	['Art & Art History']	www.jstor.org/stable/10.2307/41550769
Expectations versus Reality of Artificial Intelligence	2017	['Art & Art History']	www.jstor.org/stable/10.2307/26808352
Toward Fairness, Morality and Transparency in Artificial Intelligence through Experiential AI	2019	['Art & Art History']	www.jstor.org/stable/10.2307/26808830
"Robots Redux: ""A.I. Artificial Intelligence"" (2001)"	2001	['Film Studies', 'Language & Literature']	www.jstor.org/stable/10.2307/43797051
ARTIFICIAL INTELLIGENCE AND AGENTIVE COGNITION: A LOGICO-LINGUISTIC APPROACH	2009	['Philosophy']	www.jstor.org/stable/10.2307/44084913
