title	year	discipline_names	url
Round Table VII: Computational Science	1997	['Music']	www.jstor.org/stable/10.2307/932800
The Computational Study of a Musical Culture through Its Digital Traces	2017	['Music']	www.jstor.org/stable/10.2307/26350040
Also Innovators: How one computer salesman contributed to the digital revolution	2019	['History']	www.jstor.org/stable/10.2307/j.ctvh4zjc0
Computer	2003	['Language & Literature']	www.jstor.org/stable/10.2307/44337885
Non-Invasive Detection of a “Cut and Shut” Ancient Coin Forgery Using Micro-Computed Tomography	2021	['Art & Art History', 'Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/27113076
COMPUTABILITY THEORY AND ONTOLOGICAL EMERGENCE	2011	['Philosophy']	www.jstor.org/stable/10.2307/23025074
ANCIENT MAYA AGRICULTURAL TERRACING IN THE UPPER BELIZE RIVER AREA: Computer-aided modeling and the results of initial field investigations	1994	['Archaeology']	www.jstor.org/stable/10.2307/26307188
COMPUTER CONSCIOUSNESS? SOME REFLECTIONS ON CURRENT DEBATES	2019	['Language & Literature']	www.jstor.org/stable/10.2307/26941461
Book Review : Computers, Visualization, and History: How New Technology Will Transform Our Understanding of the Past. 2nd ed.	2018	['History', 'Religion']	www.jstor.org/stable/10.2307/26554551
Moving from Mimeograph to Computer	1998	['History', 'Religion']	www.jstor.org/stable/10.2307/42611960
"Book Review :          New Media and the Humanities: Research and Applications. Proceedings of the First Seminar ""Computers, Literature and Philology,"" Edinburgh, 7-9 September 1998                    Jonathan           Usher                             Domenico           Fiormonte"	2002	['Language & Literature']	www.jstor.org/stable/10.2307/24009829
Book Review : Measured Words: Computation and Writing in Renaissance Italy	2019	['Language & Literature']	www.jstor.org/stable/10.2307/26923342
"How to make it more efficient. A proposal to computerize the ""Dizionario"""	2011	['Language & Literature', 'Classical Studies']	www.jstor.org/stable/10.2307/24308758
The computer & the poet	2000	['Language & Literature']	www.jstor.org/stable/10.2307/41958133
PORTFOLIOS I: COMPUTER PHOTOMONTAGE	1994	['Art & Art History']	www.jstor.org/stable/10.2307/24472485
The Analytical Engine: Computer Simulation and Archaeological Research	1991	['Archaeology']	www.jstor.org/stable/10.2307/20170216
Computers and the Classics: The Third Phase	1995	['Classical Studies']	www.jstor.org/stable/10.2307/20163591
COMPUTERIZATION IN RESEARCH IN THE VISUAL ARTS	1991	['Art & Art History', 'Museum Studies']	www.jstor.org/stable/10.2307/27948303
THE CUTTING EDGE: NEW AUCTION SOURCES AND COMPUTER PROJECTS	1990	['Art & Art History', 'Museum Studies']	www.jstor.org/stable/10.2307/27948269
A Selected Chronology of Computer Art: Exhibitions, Publications, and Technology	1990	['Art & Art History']	www.jstor.org/stable/10.2307/777121
Ars Combinatoria: Mystical Systems, Procedural Art, and the Computer	1997	['Art & Art History']	www.jstor.org/stable/10.2307/777833
Computer Art as Conceptual Art	1990	['Art & Art History']	www.jstor.org/stable/10.2307/777116
Computers and Art: Issues of Content	1990	['Art & Art History']	www.jstor.org/stable/10.2307/777112
Signal to Noise: A Computer-Based Artist's Book	1990	['Art & Art History']	www.jstor.org/stable/10.2307/777120
The Digital Revolution: Art in the Computer Age	1990	['Art & Art History']	www.jstor.org/stable/10.2307/777115
The Personal is Computable	2019	['Art & Art History']	www.jstor.org/stable/10.2307/27217415
FACES: Faces, Art, and Computerized Evaluation Systems — A Feasibility Study of the Application of Face Recognition Technology to Works of Portrait Art	2017	['Art & Art History']	www.jstor.org/stable/10.2307/44972787
"Man as Machine: A Review of ""Memory and the Computational Brain: Why Cognitive Science Will Transform Neuroscience"" By C. R. Gallistel And A. P. King"	2010	['Philosophy']	www.jstor.org/stable/10.2307/41806290
BEYOND THE MASTER LETTERS: A COMPUTERIZED WORD CONTENT ANALYSIS OF EMILY DICKINSON CORRESPONDENCE WITH SAMUEL BOWLES AND SUSAN GILBERT	2000	['Language & Literature', 'History']	www.jstor.org/stable/10.2307/23540280
A Place Elsewhere: Reading in the Age of the Computer	1996	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/3824383
Jigsaw Puzzles, Paper Doll Chains... and Computers : Material Reconstruction of the Dead Sea Scrolls	2017	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/26407093
Archaeology and Computer Applications	2015	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135883.8
CAA2014: 21st Century Archaeology: Concepts, methods and tools. Proceedings of the 42nd Annual Conference on Computer Applications and Quantitative Methods in Archaeology	2015	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135883
Computers and Mathematics in Archaeology, Anatomy of an Ineluctable Success!	2015	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135883.4
Towards a History of Archaeological Computing	2015	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135883.5
3-Dimensional Archaeological Excavation of Burials Utilizing Computed Tomography Imaging	2016	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135955.22
CAA2015. Keep The Revolution Going: Proceedings of the 43rd Annual Conference on Computer Applications and Quantitative Methods in Archaeology	2016	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135955
