title	year	discipline_names	url
Round Table VII: Computational Science	1997	['Music']	www.jstor.org/stable/10.2307/932800
The Computational Study of a Musical Culture through Its Digital Traces	2017	['Music']	www.jstor.org/stable/10.2307/26350040
"Man as Machine: A Review of ""Memory and the Computational Brain: Why Cognitive Science Will Transform Neuroscience"" By C. R. Gallistel And A. P. King"	2010	['Philosophy']	www.jstor.org/stable/10.2307/41806290
Computational Tractability and Conceptual Coherence: Why Do Computer Scientists Believe That P≠NP?	1993	['Philosophy']	www.jstor.org/stable/10.2307/40231827
Functionalism, Computationalism, and Mental Contents	2004	['Philosophy']	www.jstor.org/stable/10.2307/40232223
The Computational Case against Computational Literary Studies	2019	['Language & Literature', 'Cultural Studies']	www.jstor.org/stable/10.2307/26621899
Using Computational Chemistry to Understand & Discover Chemical Reactions	2014	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/43298016
Culture in the Disk Drive: Computationalism, Memetics, and the Rise of Posthumanism	2001	['Language & Literature']	www.jstor.org/stable/10.2307/1566430
Residual Dualism in Computational Theories of Mind	1996	['Philosophy']	www.jstor.org/stable/10.2307/42968868
OUR COMPUTATIONAL CULTURE: FROM DESCARTES TO THE COMPUTER	2014	['Language & Literature']	www.jstor.org/stable/10.2307/24761929
OUR COMPUTATIONAL CULTURE: From Descartes to the Computer	1994	['Language & Literature']	www.jstor.org/stable/10.2307/42577537
Book Review :              Scientific Discovery, Computational Explorations of the Creative Processes                            P.               Langley                                         H. A.               Simon                                         G. L.               Bradshaw                                         J. M.               Zytkow	1991	['Philosophy']	www.jstor.org/stable/10.2307/20012329
Cognitive and Computational Complexity: Considerations from Mathematical Problem Solving	2021	['Philosophy']	www.jstor.org/stable/10.2307/45406333
Computational Theories of Conscious Experience: Between a Rock and a Hard Place	2012	['Philosophy']	www.jstor.org/stable/10.2307/41417611
The Computational Account of Belief	1994	['Philosophy']	www.jstor.org/stable/10.2307/20012535
Book Review : The Body in Flannery O’Connor’s Fiction: Computational Technique and Linguistic Voice	2008	['Language & Literature']	www.jstor.org/stable/10.2307/26671146
Some Support from Computational Stylistics	2010	['Classical Studies']	www.jstor.org/stable/10.2307/42950994
Information Bodies: Computational Anxiety in Neal Stephenson's <em>Snow Crash</em>	2017	['Language & Literature']	www.jstor.org/stable/10.5325/intelitestud.19.1.0017
Deterministic Chaos and Computational Complexity: The Case of Methodological Complexity Reductions	1999	['Philosophy']	www.jstor.org/stable/10.2307/25171137
Comment: Computational Intelligence,               Lmlk               Storage Jars and the               Bath               Unit in Iron Age Judah	2009	['Archaeology']	www.jstor.org/stable/10.2307/25653123
Computational Reproducibility in Archaeological Research: Basic Principles and a Case Study of Their Implementation	2017	['Archaeology']	www.jstor.org/stable/10.2307/26748313
Assertoric Semantics and the Computational Power of Self-Referential Truth	2012	['Philosophy']	www.jstor.org/stable/10.2307/41427281
Logic and Social Cognition: The Facts Matter, and so do Computational Models	2009	['Philosophy']	www.jstor.org/stable/10.2307/20685118
On Qualitative Route Descriptions Representation, Agent Models, and Computational Complexity	2015	['Philosophy']	www.jstor.org/stable/10.2307/24564011
Steps toward a Computational Metaphysics	2007	['Philosophy']	www.jstor.org/stable/10.2307/30226964
Informatic Labor in the Age of Computational Capital	2016	['Cultural Studies']	www.jstor.org/stable/10.2307/48671429
Book Review :          Number-Crunching: Taming Unruly Computational Problems from Mathematical Physics to Science Fiction                    Paul J.           Nahin	2012	['Art & Art History']	www.jstor.org/stable/10.2307/41690237
Computational Aesthetics as a Negotiated Boundary	2010	['Art & Art History']	www.jstor.org/stable/10.2307/40540112
Computational Aesthetics: On the Complexity of Computer-Generated Paintings	2012	['Art & Art History']	www.jstor.org/stable/10.2307/41550640
Kinetic Architectural Skins and the Computational Sublime	2009	['Art & Art History']	www.jstor.org/stable/10.2307/20532591
Reactions to Imagery Generated Using Computational Aesthetic Measures	2017	['Art & Art History']	www.jstor.org/stable/10.2307/26808483
The Computational Imagination	2018	['Art & Art History']	www.jstor.org/stable/10.2307/26808673
A COMPUTATIONAL SYSTEM FOR VIOLIN	2019	['Music']	www.jstor.org/stable/10.2307/27242619
Composing with Melomics: Delving into the Computational World for Musical Inspiration	2011	['Music']	www.jstor.org/stable/10.2307/41416815
On Improvised Music, Computational Creativity and Human-Becoming	2017	['Music']	www.jstor.org/stable/10.2307/26779244
A Computational Cognitive Model for the Analysis and Generation of Voice Leadings	2020	['Music']	www.jstor.org/stable/10.2307/48714189
Computational Modeling of Music Cognition: Problem or Solution?	1998	['Music']	www.jstor.org/stable/10.2307/40285783
Melodic Expectation in Finnish Spiritual Folk Hymns: Convergence of Statistical, Behavioral, and Computational Approaches	1999	['Music']	www.jstor.org/stable/10.2307/40285890
Timbre Similarity: Convergence of Neural, Behavioral, and Computational Approaches	1998	['Music']	www.jstor.org/stable/10.2307/40285788
Computational Media and the Core Concepts of Narrative Theory	2019	['Language & Literature']	www.jstor.org/stable/10.2307/26787964
