title	year	discipline_names	url
The Digital, Participatory and International Turn	2012	['History']	www.jstor.org/stable/10.20851/j.ctt1t30501.14
A new semi-automated interpretation of concave and convex features in digital archaeogeophysical datasets	2017	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135897.75
Transforming the search for human origins using new digital technologies, low altitude imaging, and citizen science	2017	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135897.29
Urban Biography: Print Books in the Digital Age	2011	['History']	www.jstor.org/stable/10.2307/41803323
The Computational Study of a Musical Culture through Its Digital Traces	2017	['Music']	www.jstor.org/stable/10.2307/26350040
"Art Feature: I'll Tell What I Saw: Selections from a Portfolio of Digital Broadsides from Dante's ""Divine Comedy"" / Essay: Watching"	2008	['Language & Literature']	www.jstor.org/stable/10.2307/23011196
Also Innovators: How one computer salesman contributed to the digital revolution	2019	['History']	www.jstor.org/stable/10.2307/j.ctvh4zjc0
Digital Imagery, Painting & Printmaking	2002	['Language & Literature']	www.jstor.org/stable/10.2307/44338311
Crossing the Digital Divide, Alone and Together: The View from the Catholic University of America	2002	['Religion', 'History']	www.jstor.org/stable/10.2307/44194936
The “Third Wave” is Digital	2017	['Religion', 'History']	www.jstor.org/stable/10.2307/26580525
Digital Cadavers and Virtual Dissection	2008	['Film Studies']	www.jstor.org/stable/10.2307/j.ctt46ms7q.7
Ancient Manuscripts in Digital Culture: Visualisation, Data Mining, Communication	2019	['Religion']	www.jstor.org/stable/10.1163/j.ctvrxk44t
Teaching Epigraphy in the Digital Age	2019	['Religion']	www.jstor.org/stable/10.1163/j.ctvrxk44t.14
IDENTIFYING A FORGED MAYA MANUSCRIPT IN UNESCO'S WORLD DIGITAL LIBRARY	2011	['Archaeology']	www.jstor.org/stable/10.2307/26309554
Book Review :          History in the Digital Age                    Toni           Weller	2014	['History', 'Religion']	www.jstor.org/stable/10.2307/43049826
Book Review : Palinsesti danteschi. Riscrivere la Commedia, da Garibaldi all’era del digitale	2019	['Language & Literature']	www.jstor.org/stable/10.2307/26923323
