title	year	discipline_names	url
"Book Review :          Introduzione ai ""Promessi sposi""                    Franco           Suitner"	1992	['Language & Literature']	www.jstor.org/stable/10.2307/24004519
AI WEIWEI: INTERLACING	2011	['Art & Art History']	www.jstor.org/stable/10.2307/24473700
THE SUCCESSION MYTH AND THE REBELLIOUS AI CREATION	2019	['Classical Studies', 'Language & Literature']	www.jstor.org/stable/10.2307/26848883
Dai Dal Ponte ai Bassano. L'eredità di Jacopo, le botteghe dei figli e l'identità artistica di Michele Pietra, 1578–1656	2016	['Art & Art History']	www.jstor.org/stable/10.2307/44082063
The Lost Church of San Niccolò ai Frari (San Nicoletto) in Venice and its Painted Decoration	2015	['Art & Art History']	www.jstor.org/stable/10.2307/44082383
"Excerpts from ""J'ai un arbre dans ma pirogue"""	2004	['Language & Literature', 'Art & Art History', 'Performing Arts']	www.jstor.org/stable/10.2307/40427181
Book Review :          Lettera ai Romani. I. Rom 1-5. Introduzione, versione, commenta (Scritte delle origini cristiane 6)                    Romano           Penna	2006	['Religion']	www.jstor.org/stable/10.2307/42614678
The Modern Buddhist Reformer T'ai-hsü on Christianity	1993	['Religion']	www.jstor.org/stable/10.2307/1389875
Mental Health and AI	2024	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/27304418
Book Review :          Ai Weiwei: Never Sorry                    Alison           Klayman                             Adam           Schlesinger	2012	['Film Studies']	www.jstor.org/stable/10.2307/41691185
"TRAUMA AND IDENTITY POLITICS IN AI'S ""DREAD"""	2014	['Language & Literature']	www.jstor.org/stable/10.2307/24544603
AI, Great Power Competition & National Security	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662042
Automation, AI & Work	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662040
Getting AI Right	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662023
Rethinking AI for Good Governance	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662048
The Moral Dimension of AI-Assisted Decision-Making	2022	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48662043
"""J'ai mal au je-nous"": Marie Darrieussecq's Innovative Use of Personal Pronouns"	2012	['Language & Literature']	www.jstor.org/stable/10.2307/23621671
L'arte Della Danza Ai Tempi Di Claudio Monteverdi	1994	['Performing Arts']	www.jstor.org/stable/10.2307/1477722
Book Review :          Storia della Danza Italiana dalle Origini ai Giorni Nostri                    José           Sasportes	2012	['Performing Arts']	www.jstor.org/stable/10.2307/23326538
Artificial Eye: The Modernist Origins of AI's Gender Problem	2021	['Language & Literature']	www.jstor.org/stable/10.13110/discourse.43.1.0031
Human-centered AI	2023	['Language & Literature']	www.jstor.org/stable/10.2307/48769086
The problem of AI identity	2023	['Language & Literature']	www.jstor.org/stable/10.2307/48769083
EVERYBODY AND NOBODY: VISIONS OF INDIVIDUALISM AND COLLECTIVITY IN THE AGE OF AI	2015	['Language & Literature']	www.jstor.org/stable/10.2307/44857461
LOVE MOUTH (AI ZUCHI)	2008	['Language & Literature']	www.jstor.org/stable/10.2307/42578883
Health Care, Capabilities, and AI Assistive Technologies	2010	['Philosophy']	www.jstor.org/stable/10.2307/40602554
Book Review :          Cratete ai Mallo, I frammenti                    Maria           Broggiato	2005	['Classical Studies']	www.jstor.org/stable/10.2307/40494168
Book Review : Ai limiti della verità. Il problema della contraddizione nella logica di Hegel [At the Limits of Truth. The Problem of Contradiction in Hegel’s Logic]	2016	['Language & Literature']	www.jstor.org/stable/10.2307/26595960
Is AI Music Beautiful? A Study of the AI Composition Model EVOM	2024	['Music']	www.jstor.org/stable/10.2307/48778406
AI, ME AND LEWIS (ABELIAN IMPLICATION, MATERIAL EQUIVALENCE AND C I LEWIS 1920)	2008	['Philosophy']	www.jstor.org/stable/10.2307/41217830
Book Review :          Oikonomia. Struttura e tecnica drammatica negli scoli antichi ai testi drammatici. (Pubblicazioni del Dipartimento di Filologia classica dell'Università degli Studi di Napoli Federico II, 20)                    Raffaele           Grisolia	2005	['Classical Studies']	www.jstor.org/stable/10.2307/41666162
“J’ai mal à l’autre”	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26379028
Book Review :          The Allure of Machinic Life: Cybernetics, Artificial Life, and the New AI                    John           Johnston	2010	['Art & Art History']	www.jstor.org/stable/10.2307/40540104
Expressive AI: A Hybrid Art and Science Practice	2001	['Art & Art History']	www.jstor.org/stable/10.2307/1577018
Toward Fairness, Morality and Transparency in Artificial Intelligence through Experiential AI	2019	['Art & Art History']	www.jstor.org/stable/10.2307/26808830
SOME RECENT APPLICATIONS OF PARACONSISTENT SYSTEMS TO AI	1997	['Philosophy']	www.jstor.org/stable/10.2307/44084588
Book Review :          Frustula poetarum. Contributi ai poeti Latini in frammenti                    A.           Perutelli	2007	['Classical Studies']	www.jstor.org/stable/10.2307/27736161
"Imitative Identity, Imitative Art, and ""AI: Artificial Intelligence"""	2017	['Language & Literature']	www.jstor.org/stable/10.2307/45158927
Book Review :              Understanding Music with AI: Perspectives on Music Cognition                             Mira                Balaban                                          Kemal                Ebcioğlu                                          Otto                Laske	1994	['Music']	www.jstor.org/stable/10.2307/40285761
Book Review :          T'ai Ch'i Ch'uan and Meditation                    Da           Liu	1994	['Religion']	www.jstor.org/stable/10.2307/20717219
"These are Strange Times, My Dear: Considering Ai Weiwei's ""@Large"""	2015	['Language & Literature']	www.jstor.org/stable/10.2307/24772600
Memories of K'ai-feng	1994	['Language & Literature']	www.jstor.org/stable/10.2307/469439
"""J'ai menti à la science"": Female Sexual Pleasure and the Limits of Medicine in Dubut de Laforest"	2014	['Language & Literature']	www.jstor.org/stable/10.2307/44122717
"Heightening the Lowly (Baudelaire: ""Je n'ai pas oublié..."" and ""A une passante"")"	2008	['Language & Literature']	www.jstor.org/stable/10.2307/23538258
APPLICAZIONE DELLA SPETTROSCOPIA MÖSSBAUER AI BENI CULTURALI / APPLICATION OF MÖSSBAUER SPECTROSCOPY TO CULTURAL HERITAGE	1999	['Art & Art History']	www.jstor.org/stable/10.2307/24395173
Bsrta ai piedi grandi: Historical Figure and Literary Symbol	1994	['Language & Literature']	www.jstor.org/stable/10.2307/45298160
Editor's Note: The Almost-All-Asian Issue: Channeling Ai Weiwei and the Grass-Mud Horse	2011	['Language & Literature']	www.jstor.org/stable/10.2307/41414128
Ai-Ghazālī and Schopenhauer on Knowledge and Suffering	2007	['Religion', 'Philosophy']	www.jstor.org/stable/10.2307/20109422
JIAN’AI	2021	['Religion', 'Philosophy']	www.jstor.org/stable/10.2307/27191296
RECONSTRUCTING MOZI'S JIAN'AI 兼愛	2017	['Religion', 'Philosophy']	www.jstor.org/stable/10.2307/26404866
AI, 1947-2010	2010	['Language & Literature']	www.jstor.org/stable/10.2307/20721394
"Annals of T'ai Chi: ""Push Hands"""	1992	['Language & Literature']	www.jstor.org/stable/10.2307/20603313
Book Review :          Fate         Ai	1991	['Language & Literature']	www.jstor.org/stable/10.2307/20603004
"On Ai Weiwei's ""Dropping a Han Dynasty Urn"""	2021	['Language & Literature']	www.jstor.org/stable/10.2307/27338229
"On Ai Weiwei's ""Dropping a Han Dynasty Urn"""	2021	['Language & Literature']	www.jstor.org/stable/10.2307/27338230
"Theme and Variations on Ai Weiwei's ""Dropping a Han Dynasty Urn"""	2021	['Language & Literature']	www.jstor.org/stable/10.2307/27338231
Book Review :          The Collected Poems of Ai         Ai.	2014	['Language & Literature']	www.jstor.org/stable/10.2307/24639984
Book Review : Ai margini dei giganti: La vita intellettuale dei Romani nel Trecento (1305–1367 ca.) Italia comunale e signorile 10	2017	['History', 'Art & Art History', 'Language & Literature']	www.jstor.org/stable/10.2307/26560661
Book Review : Descripcion ou traicté du gouvernement et regime de la cité et Seigneurie de Venise: Venezia vista dalla Francia ai primi del Cinquecento	2017	['History', 'Art & Art History', 'Language & Literature']	www.jstor.org/stable/10.2307/26560395
