title	year	discipline_names	url
Programming Special Collections	2016	['Art & Art History', 'Museum Studies']	www.jstor.org/stable/10.2307/26557047
Stimulus Control is an Inference: Implications for Instructional Programming	2010	['Philosophy']	www.jstor.org/stable/10.2307/41806302
“Our Voices, Our Stories, Our Films”: Programming the Trinidad and Tobago Film Festival	2019	['Film Studies']	www.jstor.org/stable/10.2979/blackcamera.11.1.13
Programming	2004	['Art & Art History']	www.jstor.org/stable/10.2307/41504989
Programming...	2003	['Art & Art History']	www.jstor.org/stable/10.2307/23183066
Public Programming and the Community	2005	['Art & Art History']	www.jstor.org/stable/10.2307/41505009
"Life, Love, and Programming: The Culture and Politics of ""WALL-E"" and Pixar Computer Animation"	2014	['Film Studies']	www.jstor.org/stable/10.2307/43653675
Book Review :          Coming Soon to a Festival Near You: Programming Film Festivals                    Jeffrey           Ruoff	2013	['Film Studies']	www.jstor.org/stable/10.2307/43500934
Repertory Film Programming: A Critical Symposium featuring commentary by John Ewing, John Gianvito, Bruce Goldstein, Haden Guest, Jim Healy, Kent Jones, Laurence Kardish, Marie Losier, Richard Peña, James Quandt, David Schwartz, Adam Sekuler, Dylan Skolnick and Tom Vick	2010	['Film Studies']	www.jstor.org/stable/10.2307/41690883
Deprogramming Implicit Bias	2024	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/48763065
Programming Error	1990	['Language & Literature']	www.jstor.org/stable/10.2307/42577230
The Politics of Collective Programming and the Virtual Arab Film Festival	2021	['Film Studies']	www.jstor.org/stable/10.13110/framework.62.2.0274
Programming	2007	['Art & Art History']	www.jstor.org/stable/10.2307/25481923
Filling the Void: the application of Free Logic to programming	2011	['Classical Studies']	www.jstor.org/stable/10.2307/42950956
3-D Technologies for Exhibits and Programming	2020	['Museum Studies', 'History']	www.jstor.org/stable/10.2307/27257728
PRACTICING INCLUSION in Historic Preservation PROGRAMMING	2019	['Museum Studies', 'History']	www.jstor.org/stable/10.2307/27102355
Programming Race, Slavery, & the Underground Railroad	1999	['Museum Studies', 'History']	www.jstor.org/stable/10.2307/42655582
Book Review :          Pascal Programming for Music Research                    Alexander R.           Brinkman	1992	['Music']	www.jstor.org/stable/10.2307/24044691
Coherence in Concert Programming: A View from the U.K.	2014	['Music']	www.jstor.org/stable/10.2307/43198649
