title	year	discipline_names	url
Teachers and Artificial Intelligence: The Logo Connection	1990	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/44389996
An Application of Artificial Intelligence to the Choreography of Dance	1995	['Linguistics']	www.jstor.org/stable/10.2307/30204501
Book Review :              Artificial Intelligence: The Very Idea                             John                Haugeland	1991	['Linguistics']	www.jstor.org/stable/10.2307/30204428
Book Review :              The Artificial Intelligence Debate: False Starts, Real Foundations                             Stephen R.                Graubard	1990	['Linguistics']	www.jstor.org/stable/10.2307/30204156
Animals, Zombanimals, and the Total Turing Test: The Essence of Artificial Intelligence	2000	['Linguistics']	www.jstor.org/stable/10.2307/40180234
Editorial: Alan Turing and Artificial Intelligence	2000	['Linguistics']	www.jstor.org/stable/10.2307/40180233
The Constructibility of Artificial Intelligence (As Defined by the Turing Test)	2000	['Linguistics']	www.jstor.org/stable/10.2307/40180235
Book Review :          Semantic Processing of Legal Texts: where the language of law meets the law of language (Lecture notes in computer science: lecture notes in artificial intelligence, Vol 6036)                    E.           Francesconi                             S.           Montemagni                             W.           Peters                             D.           Tiscornia	2012	['Linguistics']	www.jstor.org/stable/10.2307/41486067
Book Review : Artificial Intelligence and Instruction: Applications and Methods	1991	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40010995
Book Review : Formal Methods in Artificial Intelligence	1990	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40011073
Book Review : Natural Language Generation in Artificial Intelligence and Computational Linguistics	1992	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40011020
Book Review : The Foundations of Artificial Intelligence: A Sourcebook	1992	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40006932
