title	year	discipline_names	url
COMPLEX REVISITED: REMARKS ON SOME BASIC ISSUES IN COMPUTATIONAL LEXICOGRAPHY/LEXICOLOGY	1992	['Linguistics']	www.jstor.org/stable/10.2307/44308295
COMPUTATIONAL LEXICOGRAPHY: A QUERY SYSTEM FOR TEXT CORPORA	1992	['Linguistics']	www.jstor.org/stable/10.2307/44308296
TOOLS FOR COMPUTER-AIDED CORPUS LEXICOGRAPHY: THE HECTOR PROJECT	1992	['Linguistics']	www.jstor.org/stable/10.2307/44308286
TOWARDS A COMPUTERIZED HISTORICAL DICTIONARY OF DUTCH	1992	['Linguistics']	www.jstor.org/stable/10.2307/44308292
USING A BILINGUAL COMPUTERIZED DICTIONARY TO RETRIEVE SUPPORT VERBS AND COMBINATORIAL INFORMATION	1992	['Linguistics']	www.jstor.org/stable/10.2307/44308289
A Mixed-Methods Study of Teachers of the Deaf Learning to Integrate Computers Into Their Teaching	2005	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/26234740
Combining Cognitive Learning Theory and Computer Assisted Instruction for Deaf Learners	1992	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/44400994
Computer-Mediated Communication and the Gallaudet University Community	2008	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/26234491
Deaf Persons and Computer Use	2004	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/26234628
ENFI — An Approach to Teaching Writing Through Computers	1996	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/44392466
Integration of Computers and Related Technologies into Deaf Education Teacher Preparation Programs	2001	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/44393454
Productive Administratíve Applications of Computers in Schools and Programs for Deaf Students	1994	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/44390331
A Study in Computer-Assisted Lexicology: Evidence on the Emergence of Hopefully as a Sentence Adverb from the JSTOR Journal Archive and Other Electronic Resources	1998	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/455826
Computer-Grown Trees	1992	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/455460
Earlier Computer-Assisted Evidence on the Emergence of Hopefully as a Sentence Adverb	1999	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/455670
Using Computers in Dialect Research	1992	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/455570
Book Review : Cyborg Mind. What Brain-Computer and Mind-Cyberspace Interfaces Mean for Cyberneuroethics	2022	['Anthropology', 'Linguistics']	www.jstor.org/stable/10.2307/27297505
The Computer Programmer	2004	['Language & Literature', 'Linguistics', 'Education']	www.jstor.org/stable/10.2307/25745837
"""That's Us! A Book About Ourselves"" An EFL Project with Intermediate Learners, Incorporating the Computer as a Tool"	1993	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24147670
A COMPUTER — BASED LEARNING OF BASIC JAPANESE	1990	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24147832
A Computerized Phonetics Instructor: BABEL	1990	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/45119323
A Theoretical Foundation for the Development of Pedagogical Tasks in Computer Mediated Communication	1996	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24157092
Answer Markup on Computer-Assisted Language Learning	1993	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24147787
