title	year	discipline_names	url
An Effective Application of Natural Language Processing in Second Language Instruction	1995	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24147743
BANZAI: An Application of Natural Language Processing to Web-based Language Learning	2002	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24149466
Development and Evaluation of a Thai Learning System on the Web Using Natural Language Processing	2001	['Technology', 'Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/24147954
A Full and Efficient Machine Tractable Dictionary for Natural Language Processing: A Revised Version of the CUVOALD	1994	['Linguistics']	www.jstor.org/stable/10.2307/30204577
Book Review :              Natural Language Processing in Prolog: An Introduction to Computational Linguistics                             Gerald                Gazdar                                          Chris                Mellish	1990	['Linguistics']	www.jstor.org/stable/10.2307/30204155
COMLEX Syntax: A Large Syntactic Dictionary for Natural Language Processing	1997	['Linguistics']	www.jstor.org/stable/10.2307/30204780
Using SGML as a Basis for Data-Intensive Natural Language Processing	1997	['Linguistics']	www.jstor.org/stable/10.2307/30200441
ISSUES AND TOPICS IN CHINESE NATURAL LANGUAGE PROCESSING / 綜述：漢語自然語言處理的重要論題	1996	['Linguistics', 'Asian Studies']	www.jstor.org/stable/10.2307/23888238
Unnatural Language Processing: An Empirical Study of Multimodal Proof Styles	1999	['Linguistics']	www.jstor.org/stable/10.2307/40180185
Book Review :          Challenges in Natural Language Processing                    Madeleine           Bates                             Ralph M.           Weischedel	1995	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/416182
Book Review :          Lexical Functions in Lexicography and Natural Language Processing                    Leo           Wanner	1998	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/417632
Book Review :          Natural Language Processing for Online Applications: Text Retrieval, Extraction               and Categorization                    Peter           Jackson                  Isabelle Moulinier	2004	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/4489636
Book Review :          Subsymbolic Natural Language Processing: An Integrated Model of Scripts, Lexicon, and Memory                    Risto           Miikkulainen	1997	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/416074
Book Review :          The handbook of computational linguistics and natural language processing. (Blackwell handbooks in linguistics)                    Alexander           Clark                             Chris           Fox                             Shalom           Lappin	2011	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/41348872
Book Review :          Natural Language Processing with Python, Analyzing Text with the Natural Language Toolkit                    Steven           Bird                             Ewan           Klein                             Edward           Loper	2010	['Linguistics']	www.jstor.org/stable/10.2307/40925581
Book Review :          Ontology and the Lexicon: a natural language processing perspective. (Studies in Natural Language Processing)                    Chu-Ren           Huang                             Nicoletta           Calzolari                             Aldo           Gangemi                             Alessandro           Lenci                             Alessandro           Oltramari                             Laurent           Prévot	2012	['Linguistics']	www.jstor.org/stable/10.2307/41486065
Perspectives on crowdsourcing annotations for natural language processing	2013	['Linguistics']	www.jstor.org/stable/10.2307/42637252
Software requirements as an application domain for natural language processing	2017	['Linguistics']	www.jstor.org/stable/10.2307/26649523
Xigt: extensible interlinear glossed text for natural language processing	2015	['Linguistics']	www.jstor.org/stable/10.2307/24710405
An Applied Ontological Semantic Microtheory of Adjective Meaning for Natural Language Processing	1998	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40007064
Book Review :          Bayesian analysis in natural language processing                    Shay           Cohen	2017	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/44987851
Book Review : Analogical Natural Language Processing	1997	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40027330
Book Review : Connectionist Natural Language Processing: Readings from Connection Science	1995	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40008425
Book Review : Evaluating Natural Language Processing Systems: An Analysis and Review	1997	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40008377
Book Review : Graph-based natural language processing and information retrieval	2012	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/23323233
Book Review : Handbook of Natural Language Processing (second edition)	2011	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/41487467
Book Review : Handbook of Natural Language Processing and Machine Translation	2013	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/42628784
Book Review : Handbook of computational linguistics and natural language processing	2012	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/23323234
Book Review : Introduction to Arabic natural language processing (Synthesis lectures on human language technologies)	2010	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/41410952
Book Review : Introduction to Chinese natural language processing	2010	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/41410951
