title	year	discipline_names	url
Bimodal Bilingual (Macau Sign Language and Spoken Cantonese) Programming With Four Deaf Preschoolers With Underlying Neurological Conditions	2021	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/27113324
Understanding E-Cigarette Knowledge and Use Among d/Deaf and Hard of Hearing Students and the Need for Tailored Prevention Programming	2020	['Education', 'Linguistics']	www.jstor.org/stable/10.2307/26983945
Book Review : From Russia with Code. Programming Migrations in Post-Soviet Times	2021	['Anthropology', 'Linguistics']	www.jstor.org/stable/10.2307/27284152
A Creative Arts Approach to Computer Programming	1991	['Linguistics']	www.jstor.org/stable/10.2307/30204420
"Book Review :              A Stylo-Statistical Study of ""Adolphe"" Preceded by Indexes and a Description of Computer Programming for Language Analysis                             Robert F.                Allen"	1990	['Linguistics']	www.jstor.org/stable/10.2307/30200232
Book Review :              The Awk Programming Language                             Alfred V.                Aho                                          Brian W.                Kernighan                                          Peter J.                Weinberger	1992	['Linguistics']	www.jstor.org/stable/10.2307/30204615
"Using Constraint Logic Programming to Analyze the Chronology in ""A Rose for Emily"""	2000	['Linguistics']	www.jstor.org/stable/10.2307/30204830
Book Review :              Essentials of Constraint Programming                             T.                Frühwirth                                          S.                Abdennadher	2005	['Linguistics']	www.jstor.org/stable/10.2307/40180388
Book Review :          The Haskell Road to Logic, Maths and Programming Texts in Computing Series                    Kees           Doets                             Jan           van Eijck	2007	['Linguistics']	www.jstor.org/stable/10.2307/40180449
Book Review :          ICON Programming for Humanists                                 Alan D.             Corré	1991	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/415048
Joint research coordination and programming for HLT for Dutch in the Low Countries	2013	['Linguistics']	www.jstor.org/stable/10.2307/42636380
Machine Assisted Translation from English to a Slavic Language: What Linguistics and Programming Methodologies Can Do for It	1994	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40007982
Harmonic Grammar with linear programming: from linear systems to linguistic typology	2010	['Linguistics']	www.jstor.org/stable/10.2307/40783033
